Platform,Role,Role Group,Job Type,Applicants,Location Type,Published,Location,Location Group,Status,Views,Money Spent,Year Published,Month Published,Year-Month Published
Handshake,Volunteer Digital Content Creator and Website Specialist Manager Intern,Technology,Volunteer,0.0,Remote,2026-03-11,Within the US,United States,Closed,,,2026,3,2026-03
Handshake,Chief Operating Officer,Executive/Leadership,Internship,14.0,Hybrid,2026-06-13,"Raleigh, North Carolina",North Carolina,Open,,,2026,6,2026-06
Handshake,Director of Administration & Communications,Executive/Leadership,Internship,16.0,Hybrid,2026-06-13,"Raleigh, North Carolina",North Carolina,Open,,,2026,6,2026-06
Handshake,Director of Programs & Partnerships,Executive/Leadership,Internship,17.0,Hybrid,2026-06-13,"Raleigh, North Carolina",North Carolina,Open,,,2026,6,2026-06
Handshake,Fundraising & Donor Relations Manager,Partnerships/Donor Relations,Job,3.0,Remote,2026-06-14,Within the US,United States,Closed,,,2026,6,2026-06
Handshake,Volunteer Digital Content Creator and Website Specialist Manager,Technology,Volunteer,15.0,Remote,2026-06-30,Within the US,United States,Open,,,2026,6,2026-06
Handshake,Volunteer Funding Coordinator,Fundraising,Volunteer,2.0,Remote,2026-07-27,Within the US,United States,Open,,,2026,7,2026-07
Handshake,Volunteer SEO Specialist,Technology,Volunteer,0.0,Remote,2026-08-09,Within the US,United States,Open,,,2026,8,2026-08
Idealist,Accounting Manager,Operations/Administration,Volunteer Opportunity,21.0,Remote,2025-08-15,"Raleigh, North Carolina, US",North Carolina,Expired,1.0,,2025,8,2025-08
Idealist,Development Director,Fundraising,Volunteer Opportunity,0.0,Remote,2025-08-15,"Raleigh, NC, USA",North Carolina,Expired,0.0,,2025,8,2025-08
Idealist,Fundraising Strategist,Fundraising,Volunteer Opportunity,10.0,Remote,2025-08-15,"Raleigh, NC, USA",North Carolina,Expired,7.0,,2025,8,2025-08
Idealist,Grant Writer Assistant,Grant Writing,Volunteer Opportunity,82.0,Remote,2025-08-15,"Raleigh, NC, USA",North Carolina,Expired,55.0,,2025,8,2025-08
Idealist,Social Media Manager,Social Media/Marketing,Volunteer Opportunity,64.0,Remote,2025-08-15,"Raleigh, NC, USA",North Carolina,Expired,5.0,,2025,8,2025-08
Idealist,Volunteer Data Manager,Technology,Volunteer Opportunity,21.0,Remote,2025-09-16,"Raleigh, NC, USA",North Carolina,Expired,78.0,,2025,9,2025-09
Idealist,Host a Donation Drive,Fundraising,Volunteer Opportunity,0.0,Onsite,2025-09-16,"Raleigh, NC, USA",North Carolina,Expired,28.0,,2025,9,2025-09
Idealist,Development Director,Fundraising,Volunteer Opportunity,13.0,Remote,2025-09-18,"Raleigh, NC, USA",North Carolina,Expired,4.0,,2025,9,2025-09
Idealist,Video Content Creator,Social Media/Marketing,Volunteer Opportunity,0.0,Remote,2025-09-18,"Raleigh, NC, USA",North Carolina,Expired,17.0,,2025,9,2025-09
Idealist,Development of Annual Fundraising Plan,Fundraising,Volunteer Opportunity,0.0,Remote,2025-09-18,"Raleigh, NC, USA",North Carolina,Expired,3.0,,2025,9,2025-09
Idealist,Develop a Corporate Giving Strategy,Fundraising,Volunteer Opportunity,0.0,Remote,2025-09-18,"Raleigh, NC, USA",North Carolina,Expired,5.0,,2025,9,2025-09
Idealist,Fundraising Campaign Design,Fundraising,Volunteer Opportunity,0.0,Remote,2025-09-18,"Raleigh, NC, USA",North Carolina,Expired,2.0,,2025,9,2025-09
Idealist,Revenue Development,Fundraising,Volunteer Opportunity,0.0,Remote,2025-09-18,"Raleigh, NC, USA",North Carolina,Expired,15.0,,2025,9,2025-09
Idealist,Webmaster,Technology,Volunteer Opportunity,4.0,Remote,2025-09-22,"Raleigh, NC, USA",North Carolina,Expired,12.0,,2025,9,2025-09
Idealist,Fundraising Manager,Fundraising,Volunteer Opportunity,1.0,Remote,2025-09-23,"Raleigh, NC, USA",North Carolina,Expired,6.0,,2025,9,2025-09
Idealist,Content Writer,Social Media/Marketing,Volunteer Opportunity,2.0,Remote,2025-10-05,"Raleigh, NC, USA",North Carolina,Expired,36.0,,2025,10,2025-10
Idealist,Volunteer Fundraising Assistant,Fundraising,Volunteer Opportunity,3.0,Remote,2025-10-14,"Raleigh, NC, USA",North Carolina,Expired,15.0,,2025,10,2025-10
Idealist,Fundraising Team Member,Fundraising,Volunteer Opportunity,0.0,Hybrid,2025-11-01,"Raleigh, NC, USA",North Carolina,Expired,3.0,,2025,11,2025-11
Idealist,Volunteer Staff Member,General Staff,Volunteer Opportunity,1.0,Hybrid,2025-11-01,"Raleigh, NC, USA",North Carolina,Expired,37.0,,2025,11,2025-11
Idealist,Social Media Manager,Social Media/Marketing,Volunteer Opportunity,6.0,Remote,2025-11-02,"Raleigh, NC, USA",North Carolina,Expired,42.0,,2025,11,2025-11
Idealist,Volunteer Data Manager,Technology,Volunteer Opportunity,11.0,Remote,2025-11-02,"Raleigh, NC, USA",North Carolina,Expired,73.0,,2025,11,2025-11
Idealist,Revenue Development Manager,Fundraising,Volunteer Opportunity,2.0,Remote,2025-11-04,"Raleigh, NC, USA",North Carolina,Expired,15.0,,2025,11,2025-11
Idealist,Volunteer Project Manager,Programs/Project Management,Volunteer Opportunity,6.0,Remote,2025-11-05,"Raleigh, NC, USA",North Carolina,Expired,47.0,,2025,11,2025-11
Idealist,Volunteer Grant Writer-Business Grants & Social Enterprise Funding,Grant Writing,Volunteer Opportunity,0.0,Remote,2025-11-14,"Raleigh, NC, USA",North Carolina,Expired,29.0,,2025,11,2025-11
Idealist,Fundraising & Donor Relations Manager,Partnerships/Donor Relations,Volunteer Opportunity,3.0,Remote,2025-11-16,"Raleigh, NC, USA",North Carolina,Published,46.0,,2025,11,2025-11
Idealist,Volunteer Graphic Designer,Social Media/Marketing,Volunteer Opportunity,2.0,Remote,2025-11-21,"Raleigh, NC, USA",North Carolina,Expired,18.0,,2025,11,2025-11
Idealist,Executive Assistant Intern/Volunteer,Operations/Administration,Volunteer Opportunity,13.0,Remote,2025-11-25,"Raleigh, NC, USA",North Carolina,Expired,121.0,,2025,11,2025-11
Idealist,Volunteer Fundraising Team Members,Fundraising,Volunteer Opportunity,0.0,Remote,2025-11-27,"Raleigh, NC, USA",North Carolina,Expired,11.0,,2025,11,2025-11
Idealist,Donor Relations Manager,,Volunteer Opportunity,1.0,Remote,2025-12-31,"Raleigh, NC, USA",,Expired,38.0,,2025,12,2025-12
Idealist,Volunteer Microsoft 365 Implementor,,Volunteer Opportunity,0.0,Remote,2026-01-06,"Raleigh, NC, USA",,Expired,35.0,,2026,1,2026-01
Idealist,Grant Writer Assistant,Partnerships/Donor Relations,Volunteer Opportunity,7.0,Remote,2026-02-11,"Raleigh, NC, USA",North Carolina,Published,137.0,,2026,2,2026-02
Idealist,Nonprofit Management Intern,Technology,Internship,15.0,Hybrid,2026-02-14,"Raleigh, NC, USA",North Carolina,Expired,111.0,,2026,2,2026-02
Idealist,Corporate Sponsorship & Partnership Development Consultant,Grant Writing,Volunteer Opportunity,0.0,Remote,2026-03-12,"Raleigh, NC, USA",North Carolina,Published,38.0,,2026,3,2026-03
Idealist,Volunteer Digital Content Creator and Website Specialist,,Volunteer Opportunity,0.0,Remote,2026-03-12,"Raleigh, NC, USA",,Hidden,34.0,,2026,3,2026-03
Idealist,Volunteer Fundraising Team Members,,Volunteer Opportunity,2.0,Remote,2026-03-12,"Raleigh, NC, USA",,Hidden,41.0,,2026,3,2026-03
Idealist,Volunteer Research and Statistical Data Manager,,Volunteer Opportunity,7.0,Remote,2026-03-12,"Raleigh, NC, USA",,Hidden,49.0,,2026,3,2026-03
Idealist,Volunteer Staff Member,,Volunteer Opportunity,1.0,Hybrid,2026-05-01,"Raleigh, NC, USA",,Hidden,71.0,,2026,5,2026-05
Idealist,Executive Assistant,General Staff,Volunteer Opportunity,14.0,Remote,2026-05-25,"Raleigh, NC, USA",North Carolina,Hidden,114.0,,2026,5,2026-05
Idealist,Director of Administration & Communications,Partnerships/Donor Relations,Volunteer Opportunity,0.0,Hybrid,2026-06-13,"Raleigh, NC, USA",North Carolina,Published,8.0,,2026,6,2026-06
Idealist,Director of Programs & Partnerships,Technology,Volunteer Opportunity,0.0,Hybrid,2026-06-13,"Raleigh, NC, USA",North Carolina,Published,10.0,,2026,6,2026-06
Idealist,Chief Operating Officer,Fundraising,Volunteer Opportunity,2.0,Hybrid,2026-06-13,"Raleigh, NC, USA",North Carolina,Published,24.0,,2026,6,2026-06
Idealist,Volunteer Funding & Pitch Opportunities Coordinator,Fundraising,Volunteer Opportunity,2.0,Remote,2026-07-27,"Raleigh, NC, USA",North Carolina,Published,18.0,,2026,7,2026-07
Idealist,SEO Specialist,Technology,Volunteer Opportunity,1.0,Remote,2026-08-09,"Raleigh, NC, USA",North Carolina,Published,19.0,,2026,8,2026-08
Indeed,Volunteer Staff Member,General Staff,Volunteer,0.0,Onsite,2022-06-11,"Raleigh, NC",North Carolina,Closed,,,2022,6,2022-06
Indeed,Volunteer Data Manager,Technology,Volunteer,1.0,Remote,2025-09-25,Remote,Remote,Closed,,,2025,9,2025-09
Indeed,Volunteer Fundraiser Team Member,Fundraising,Volunteer,0.0,Hybrid,2025-09-25,"555 Fayetteville St, Raleigh, NC 27601",North Carolina,Closed,,,2025,9,2025-09
Indeed,Volunteer Grant Writer,Grant Writing,Volunteer,0.0,Remote,2025-09-25,United States,United States,Closed,,,2025,9,2025-09
Indeed,Volunteer Revenue Development Manager,Fundraising,Volunteer,0.0,Remote,2025-09-25,United States,United States,Closed,,,2025,9,2025-09
Indeed,Volunteer Social Media and Marketing Manager,Social Media/Marketing,Volunteer,0.0,Remote,2025-09-25,United States,United States,Closed,,,2025,9,2025-09
Indeed,Volunteer Fundraising Specialist,Fundraising,Volunteer,3.0,Hybrid,2025-10-14,"1300 Fayetteville St, Raleigh, NC 27603",North Carolina,Closed,,,2025,10,2025-10
Indeed,Volunteer Fundraising Team Member,Fundraising,Volunteer,1.0,Remote,2025-11-02,"555 Fayetteville St, Raleigh, NC 27601",North Carolina,Closed,,,2025,11,2025-11
Indeed,Volunteer Staff Member,General Staff,Volunteer,1.0,Onsite,2025-11-02,"Raleigh, NC 27604",North Carolina,Closed,,,2025,11,2025-11
Indeed,Volunteer Revenue Development Manager,Fundraising,Volunteer,0.0,Remote,2025-11-04,United States,United States,Closed,,,2025,11,2025-11
Indeed,Volunteer Project Manager,Programs/Project Management,Volunteer,0.0,Remote,2025-11-05,United States,United States,Closed,,,2025,11,2025-11
Indeed,Volunteer Grant Writer,Grant Writing,Volunteer,5.0,Remote,2025-11-14,United States,United States,Closed,,,2025,11,2025-11
Indeed,Volunteer Graphic Designer,Social Media/Marketing,Volunteer,0.0,Remote,2025-11-21,Remote,Remote,Closed,,,2025,11,2025-11
Indeed,Volunteer Executive Assistant,Operations/Administration,Volunteer,17.0,Remote,2025-11-25,United States,United States,Closed,,,2025,11,2025-11
Indeed,Volunteer Fundraising Manager,Fundraising,Volunteer,0.0,Remote,2025-11-27,United States,United States,Closed,,,2025,11,2025-11
Indeed,Volunteer Donor Relations Manager,Partnerships/Donor Relations,Volunteer,0.0,Remote,2025-12-31,United States,United States,Closed,,,2025,12,2025-12
Indeed,Volunteer Microsoft 365 Implementor,Technology,Volunteer,1.0,Remote,2026-01-06,United States,United States,Closed,,,2026,1,2026-01
Indeed,Nonprofit Management Intern,General Staff,Internship,2.0,Hybrid,2026-02-14,"Raleigh, NC 27602",North Carolina,Closed,,,2026,2,2026-02
Indeed,Volunteer Corporate Partnerships Manager,Partnerships/Donor Relations,Volunteer,8.0,Remote,2026-03-13,United States,United States,Closed,,,2026,3,2026-03
Indeed,Volunteer Digital Content Creator and Website Specialist,Technology,Volunteer,0.0,Remote,2026-03-13,Remote,Remote,Closed,,,2026,3,2026-03
Indeed,Volunteer Fundraising Team Members,Fundraising,Volunteer,0.0,Remote,2026-03-13,"414 Fayetteville St, Raleigh, NC 27601",North Carolina,Closed,,,2026,3,2026-03
Indeed,Volunteer Grant Writer,Grant Writing,Volunteer,26.0,Remote,2026-03-13,Remote,Remote,Closed,,,2026,3,2026-03
Indeed,Fundraising Manager,Fundraising,Job,3.0,Remote,2026-04-03,United States,United States,Closed,,,2026,4,2026-04
Indeed,Volunteer Administrative Assistant,Operations/Administration,Volunteer,12.0,Remote,2026-04-06,Remote,Remote,Closed,,,2026,4,2026-04
Indeed,Fundraising & Donor Relations Manager,Partnerships/Donor Relations,Job,0.0,Remote,2026-06-14,United States,United States,Closed,,,2026,6,2026-06
Indeed,Volunteer Chief Operating Officer,Executive/Leadership,Volunteer,2.0,Hybrid,2026-06-14,"Raleigh, NC 27601",North Carolina,Flagged,,,2026,6,2026-06
Indeed,Volunteer Director of Administration & Communications,Executive/Leadership,Volunteer,0.0,Remote,2026-06-14,"Raleigh, NC 27601",North Carolina,Closed,,,2026,6,2026-06
Indeed,Volunteer Director of Programs & Partnerships,Executive/Leadership,Volunteer,3.0,Remote,2026-06-14,"Raleigh, NC 27601",North Carolina,Flagged,,,2026,6,2026-06
Indeed,Volunteer Executive Assistant,Operations/Administration,Volunteer,23.0,Remote,2026-06-14,United States,United States,Closed,,,2026,6,2026-06
Indeed,Volunteer Proposal Writer Assistant,Grant Writing,Volunteer,0.0,Remote,2026-06-14,United States,United States,Closed,,,2026,6,2026-06
Indeed,Volunteer Sponsorship & Partnership Development Consultant,Partnerships/Donor Relations,Volunteer,4.0,Remote,2026-06-14,Remote,Remote,Flagged,,,2026,6,2026-06
Indeed,Nonprofit Management Intern,General Staff,Internship,0.0,Remote,,"Raleigh-Durham, NC",North Carolina,Closed,,,,,
Indeed,Volunteer Social Media and Marketing Manager,Social Media/Marketing,Volunteer,13.0,Remote,2026-07-02,United States,United States,Closed,,,2026,7,2026-07
Indeed,Volunteer Funding & Pitch Opportunities Coordinator,Fundraising,Volunteer,0.0,Remote,2026-07-27,United States,United States,Open,,,2026,7,2026-07
Indeed,Volunteer Search Engine Optimization Specialist,Technology,Volunteer,1.0,Remote,2026-08-09,Remote,Remote,Open,,,2026,8,2026-08
LinkedIn,Volunteer Chief Operating Officer,Executive/Leadership,,10.0,Remote,,United States,United States,Closed,,16.0,,,
LinkedIn,Volunteer Director of Programs & Partnerships,Executive/Leadership,,18.0,Remote,,United States,United States,Closed,,18.0,,,
LinkedIn,Volunteer Corporate Partnerships Manager,Partnerships/Donor Relations,,9.0,Remote,,United States,United States,Closed,,16.0,,,
LinkedIn,Volunteer Director of Administration & Communications,Executive/Leadership,,7.0,Remote,,United States,United States,Closed,,0.0,,,
LinkedIn,Fundraising & Donor Relations Manager,Partnerships/Donor Relations,,15.0,Remote,,United States,United States,Closed,,16.0,,,
LinkedIn,Fundraising Manager,Fundraising,,16.0,Remote,,United States,United States,Closed,,16.0,,,
LinkedIn,Volunteer Social Media Manager and Website Specialist,Social Media/Marketing,,43.0,Remote,,United States,United States,Closed,,13.3,,,
LinkedIn,Volunteer Digital Content Creator and Website Specialist,Technology,,10.0,Remote,,United States,United States,Closed,,0.0,,,
LinkedIn,Volunteer Donor Relations Manager,Partnerships/Donor Relations,,16.0,Remote,,United States,United States,Closed,,24.0,,,
LinkedIn,Volunteer Social Media Manager,Social Media/Marketing,,13.0,Remote,,United States,United States,Closed,,7.93,,,
LinkedIn,Volunteer Fundraising Team Member,Fundraising,,3.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,21.0,,,
LinkedIn,Volunteer Revenue Development Manager,Fundraising,,5.0,Remote,,United States,United States,Closed,,24.0,,,
LinkedIn,Volunteer Grant Writer,Grant Writing,,13.0,Remote,,"North Carolina, United States",North Carolina,Closed,,24.0,,,
LinkedIn,Volunteer Graphic Designer,Social Media/Marketing,,30.0,Remote,,United States,United States,Closed,,3.49,,,
LinkedIn,Volunteer Grant Writer,Grant Writing,,0.0,Remote,,"North Carolina, United States",North Carolina,Closed,,0.0,,,
LinkedIn,Volunteer Fundraising Team Member,Fundraising,,0.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,0.0,,,
LinkedIn,Volunteer Social Media Manager,Social Media/Marketing,,0.0,Remote,,"North Carolina, United States",North Carolina,Closed,,8.0,,,
LinkedIn,Volunteer Revenue Development Manager,Fundraising,,0.0,Remote,,United States,United States,Closed,,8.0,,,
LinkedIn,Volunteer Social Media Manager,Social Media/Marketing,,7.0,Hybrid,,Raleigh-Durham-Chapel Hill Area,North Carolina,Closed,,0.0,,,
LinkedIn,Volunteer Data Manager,Technology,,48.0,Remote,,United States,United States,Closed,,16.0,,,
LinkedIn,Volunteer Revenue Development Manager,Fundraising,,1.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,0.0,,,
LinkedIn,Volunteer Fundraising Team Member,Fundraising,,0.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,0.0,,,
LinkedIn,Volunteer Grant Writer,Grant Writing,,15.0,Remote,,"North Carolina, United States",North Carolina,Closed,,16.0,,,
LinkedIn,Volunteer Fundraiser Manager,Fundraising,,3.0,Remote,,"North Carolina, United States",North Carolina,Closed,,8.0,,,
LinkedIn,Volunteer Fundraiser Assistant,Fundraising,,11.0,Remote,,"North Carolina, United States",North Carolina,Closed,,24.0,,,
LinkedIn,Volunteer Fundraiser Manager,Fundraising,,9.0,Remote,,"North Carolina, United States",North Carolina,Closed,,8.0,,,
LinkedIn,Revenue Development Manager,Fundraising,,1.0,Hybrid,,Raleigh-Durham-Chapel Hill Area,North Carolina,Closed,,16.0,,,
LinkedIn,Social Media Manager,Social Media/Marketing,,12.0,Hybrid,,Raleigh-Durham-Chapel Hill Area,North Carolina,Closed,,0.0,,,
LinkedIn,Volunteer Grant Writer,Grant Writing,,13.0,Remote,,"North Carolina, United States",North Carolina,Closed,,32.0,,,
LinkedIn,Volunteer Fundraiser Manager,Fundraising,,1.0,Remote,,"North Carolina, United States",North Carolina,Closed,,16.0,,,
LinkedIn,Volunteer Nonprofit Manager,Volunteer Management,,23.0,Hybrid,,Raleigh-Durham-Chapel Hill Area,North Carolina,Closed,,6.0,,,
LinkedIn,Executive Assistant,Operations/Administration,,22.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,0.0,,,
LinkedIn,Real Estate Development Assistant Position Available,General Staff,,19.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,0.0,,,
LinkedIn,Nonprofit Admin,Operations/Administration,,10.0,Hybrid,,"Raleigh, North Carolina, United States",North Carolina,Closed,,0.0,,,
Symplicity,Volunteer Executive Assistant,Operations/Administration,Volunteer,17.0,Remote/Nationwide,2026-07-15,"Nationwide, United States",United States,Active,,,2026,7,2026-07
Symplicity,Volunteer Corporate Partnerships Manager,Partnerships/Donor Relations,Volunteer,6.0,Remote/Nationwide,2026-07-16,"Nationwide, United States",United States,Active,,,2026,7,2026-07
Symplicity,Chief Operating Officer,Executive/Leadership,Part Time,4.0,Remote/Nationwide,2026-08-09,"Nationwide, United States",United States,Active,,,2026,8,2026-08
Symplicity,Director of Administration & Communications,Executive/Leadership,Part Time,7.0,Remote/Nationwide,2026-08-09,"Nationwide, United States",United States,Active,,,2026,8,2026-08
Symplicity,Director of Programs & Partnerships,Executive/Leadership,Part Time,3.0,Remote/Nationwide,2026-08-09,"Nationwide, United States",United States,Active,,,2026,8,2026-08
Symplicity,Fundraising & Donor Relations Manager,Partnerships/Donor Relations,Part Time,2.0,Remote/Nationwide,2026-08-09,"Nationwide, United States",United States,Active,,,2026,8,2026-08
Symplicity,Grant Writer Assistant,Grant Writing,Part Time,5.0,Remote/Nationwide,2026-08-09,"Nationwide, United States",United States,Active,,,2026,8,2026-08
Symplicity,Funding Manager,Fundraising,Part Time,1.0,Remote/Nationwide,2026-07-29,"Nationwide, United States",United States,Active,,,2026,7,2026-07
Symplicity,Volunteer SEO Specialist,Technology,Part Time,0.0,Remote/Nationwide,2026-08-09,"Nationwide, United States",United States,Active,,,2026,8,2026-08
